run_accession	fastq_ftp	fastq_bytes	library_strategy	sample_title
SRR4457866	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457866/SRR4457866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457866/SRR4457866_2.fastq.gz	15036671;16450979	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457878	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/008/SRR4457878/SRR4457878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/008/SRR4457878/SRR4457878_2.fastq.gz	9991178;9615209	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457884	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457884/SRR4457884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457884/SRR4457884_2.fastq.gz	14785264;13849521	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457887	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/007/SRR4457887/SRR4457887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/007/SRR4457887/SRR4457887_2.fastq.gz	19368593;19870280	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457888	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/008/SRR4457888/SRR4457888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/008/SRR4457888/SRR4457888_2.fastq.gz	19069991;20269730	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457890	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/000/SRR4457890/SRR4457890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/000/SRR4457890/SRR4457890_2.fastq.gz	12922762;13393913	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457893	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/003/SRR4457893/SRR4457893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/003/SRR4457893/SRR4457893_2.fastq.gz	7536559;8249633	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457894	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457894/SRR4457894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457894/SRR4457894_2.fastq.gz	15880287;15607517	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457897	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/007/SRR4457897/SRR4457897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/007/SRR4457897/SRR4457897_2.fastq.gz	17482351;20888635	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457900	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/000/SRR4457900/SRR4457900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/000/SRR4457900/SRR4457900_2.fastq.gz	15189303;16063772	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457901	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/001/SRR4457901/SRR4457901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/001/SRR4457901/SRR4457901_2.fastq.gz	17260102;19072709	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR5330825	ftp.sra.ebi.ac.uk/vol1/fastq/SRR533/005/SRR5330825/SRR5330825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR533/005/SRR5330825/SRR5330825_2.fastq.gz	19221693;19394478	AMPLICON	Human sample from human metagenome
SRR3720341	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720341/SRR3720341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720341/SRR3720341_2.fastq.gz	12878164;14746984	AMPLICON	Human sample from Homo sapiens
SRR3720347	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3720347/SRR3720347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3720347/SRR3720347_2.fastq.gz	16112902;18344381	AMPLICON	Human sample from Homo sapiens
SRR3720353	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/003/SRR3720353/SRR3720353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/003/SRR3720353/SRR3720353_2.fastq.gz	16089513;19905816	AMPLICON	Human sample from Homo sapiens
SRR3720354	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/004/SRR3720354/SRR3720354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/004/SRR3720354/SRR3720354_2.fastq.gz	13811202;16687732	AMPLICON	Human sample from Homo sapiens
SRR3720355	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/005/SRR3720355/SRR3720355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/005/SRR3720355/SRR3720355_2.fastq.gz	11396997;14043744	AMPLICON	Human sample from Homo sapiens
SRR3720364	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/004/SRR3720364/SRR3720364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/004/SRR3720364/SRR3720364_2.fastq.gz	18734402;24274212	AMPLICON	Human sample from Homo sapiens
SRR3720366	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/006/SRR3720366/SRR3720366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/006/SRR3720366/SRR3720366_2.fastq.gz	17148660;22870244	AMPLICON	Human sample from Homo sapiens
